trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
99,False,"{'a': 0.1, 'e': 0.08416299025731036}",25,12,20.230595516204822,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.1, 'e': 0.0820849986238988}",25,18,-8.292938756666754,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
101,False,"{'a': 0.1, 'e': 0.08005831278672051}",25,10,-9.235016731714005,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
102,False,"{'a': 0.1, 'e': 0.07808166600115313}",25,8,24.20309930237771,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.1, 'e': 0.07615382279861033}",20,8,9.058545571177687,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.1, 'e': 0.07427357821433388}",20,8,17.944935941261665,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.1, 'e': 0.07243975703425146}",20,12,13.327733228026313,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.1, 'e': 0.07065121306042957}",25,17,-8.947650672541483,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
107,False,"{'a': 0.1, 'e': 0.06890682839466256}",20,5,-12.435198534813367,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
108,False,"{'a': 0.1, 'e': 0.06720551273974976}",20,9,18.427275081791937,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.1, 'e': 0.06554620271802433}",25,8,6.286799158451145,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
110,False,"{'a': 0.1, 'e': 0.06392786120670757}",25,15,17.223566435074105,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.1, 'e': 0.0623494766896734}",30,2,-13.605410338493526,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 1}",1
112,False,"{'a': 0.1, 'e': 0.06081006262521795}",20,9,17.461328589722637,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
